,Batter,Game,Hit,None,FC,Err,Out,Year,AB,CumHit,CumAB,BA
203,Andrew Bosman,19.0,2.0,0.0,0.0,0.0,1.0,2020.0,3.0,23.0,40.0,0.575
204,Andrew Bosman,20.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,23.0,40.0,0.575
205,Andrew Bosman,21.0,1.0,0.0,0.0,0.0,1.0,2020.0,2.0,24.0,42.0,0.571
206,Tray Toomey,17.0,0.0,0.0,1.0,0.0,2.0,2020.0,3.0,23.0,47.0,0.489
207,Tray Toomey,18.0,1.0,1.0,0.0,0.0,1.0,2020.0,2.0,24.0,49.0,0.49
208,Tray Toomey,19.0,1.0,2.0,0.0,0.0,0.0,2020.0,1.0,25.0,50.0,0.5
209,Tray Toomey,20.0,2.0,0.0,0.0,0.0,2.0,2020.0,4.0,27.0,54.0,0.5
210,Tray Toomey,21.0,0.0,0.0,0.0,0.0,3.0,2020.0,3.0,27.0,57.0,0.474
211,Nick Chedra,17.0,0.0,2.0,0.0,1.0,0.0,2020.0,1.0,20.0,43.0,0.465
212,Nick Chedra,18.0,0.0,0.0,0.0,0.0,3.0,2020.0,3.0,20.0,46.0,0.435
213,Nick Chedra,19.0,0.0,1.0,0.0,0.0,2.0,2020.0,2.0,20.0,48.0,0.417
214,Nick Chedra,20.0,0.0,2.0,0.0,0.0,2.0,2020.0,2.0,20.0,50.0,0.4
215,Nick Chedra,21.0,0.0,0.0,0.0,1.0,1.0,2020.0,2.0,20.0,52.0,0.385
216,Mick Pinchin,17.0,1.0,1.0,0.0,0.0,1.0,2020.0,2.0,28.0,42.0,0.667
217,Mick Pinchin,18.0,1.0,0.0,0.0,0.0,1.0,2020.0,2.0,29.0,44.0,0.659
218,Mick Pinchin,19.0,2.0,1.0,0.0,0.0,0.0,2020.0,2.0,31.0,46.0,0.674
219,Mick Pinchin,20.0,0.0,0.0,2.0,0.0,2.0,2020.0,4.0,31.0,50.0,0.62
220,Mick Pinchin,21.0,0.0,2.0,0.0,0.0,1.0,2020.0,1.0,31.0,51.0,0.608
221,Brice Hilliard,17.0,2.0,1.0,0.0,0.0,0.0,2020.0,2.0,33.0,50.0,0.66
222,Brice Hilliard,18.0,3.0,0.0,0.0,0.0,0.0,2020.0,3.0,36.0,53.0,0.679
223,Brice Hilliard,19.0,0.0,1.0,0.0,2.0,0.0,2020.0,2.0,36.0,55.0,0.655
224,Brice Hilliard,20.0,4.0,0.0,0.0,0.0,1.0,2020.0,5.0,40.0,60.0,0.667
225,Brice Hilliard,21.0,0.0,1.0,0.0,0.0,2.0,2020.0,2.0,40.0,62.0,0.645
226,Jamie Fletcher,17.0,1.0,0.0,0.0,1.0,0.0,2020.0,2.0,17.0,33.0,0.515
227,Jamie Fletcher,18.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,17.0,33.0,0.515
228,Jamie Fletcher,19.0,4.0,0.0,0.0,0.0,0.0,2020.0,4.0,21.0,37.0,0.568
229,Jamie Fletcher,20.0,2.0,0.0,0.0,0.0,2.0,2020.0,4.0,23.0,41.0,0.561
230,Jamie Fletcher,21.0,0.0,1.0,0.0,0.0,1.0,2020.0,1.0,23.0,42.0,0.548
231,Chris Maher,17.0,1.0,0.0,0.0,0.0,2.0,2020.0,3.0,1.0,3.0,0.333
232,Chris Maher,18.0,1.0,0.0,1.0,0.0,1.0,2020.0,3.0,2.0,6.0,0.333
233,Chris Maher,19.0,2.0,0.0,0.0,0.0,1.0,2020.0,3.0,4.0,9.0,0.444
234,Chris Maher,20.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,4.0,9.0,0.444
235,Chris Maher,21.0,0.0,1.0,1.0,0.0,1.0,2020.0,2.0,4.0,11.0,0.364
